doll_friend_s2_message,Description,Skip,Additional comments,Identifier iOS,Identifier Android,en-us text,tw text,cn text,th-th text,de text
My Favorite Album,,,,contentPlay.favorite.album.songRemoved,favorite_removed_toast_favorite_album,The song has been removed.,這首歌已被刪除,这首歌已被删除,เพลงถูกลบออก,Das Lied wurde entfernt.
My Favorite Album,,,,contentPlay.favorite.album.dialog.removeSong,,Remove from My Favorite?,從我的最愛刪除?,从我的最爱删除?,ลบออกจากรายการโปรด?,Aus „Mein Favorit“ entfernen?
My Favorite Album,,,,contentPlay.favorite.album.dialog.confirm,remove,Remove,刪除,删除,ลบ,Entfernen
My Favorite Album,,,,contentPlay.favoriteRemoved,favorite_album_removed,This album has been removed by others.,此專輯已被移除,此专辑已被移除,อัลบั้มนี้ถูกลบออกโดยผู้อื่น,Dieses Album wurde von anderen entfernt.
Tips / Preview songs,First use tip for song selection on album,,,firstUseTips.previewSong.title,preview_music_title,Preview songs,預覽歌曲,预览歌曲,ดูตัวอย่างเพลง,Musikstücke anspielen.
Tips / Preview songs,First use tip for song selection on album,,,firstUseTips.previewSong.description,preview_music_description,You can preview songs on your phone,您可在手機上試聽歌曲,您可在手机上试听歌曲,คุณสามารถดูตัวอย่างเพลงในโทรศัพท์ของคุณ,Sie können Songs auf Ihrem Telefon in der Vorschau ansehen
Tips / Add to my favorite album,First use tip for add song to my favorite album,,,firstUseTips.addFavorite.title,fav_music_walk_title,Add to My Favorite,加入我的最愛,加入我的最爱,เพิ่มในรายการโปรดของฉัน,Zu „Mein Favorit“ hinzufügen
Tips / Add to my favorite album,First use tip for add song to my favorite album,,,firstUseTips.addFavorite.description,fav_music_walk_description,All your favorite songs are here. Feel free to add or remove them. ,您喜愛的歌曲都在這裡，您可以添加或刪除歌曲。,您喜爱的歌曲都在这里，您可以添加或删除歌曲。,เพลงโปรดทั้งหมดของคุณอยู่ที่นี่ อย่าลังเลที่จะเพิ่มหรือลบออก,"Alle Ihre Lieblingslieder sind hier. Fühlen Sie sich frei, sie hinzuzufügen oder zu entfernen. "
Settings,,,,efence.define.caution.area,detection_settings_caution_area_title,Drag points to specify the caution area,請拖曳端點設定危險區域範圍,请拖曳端点设定危险区域范围,ลากจุดเพื่อระบุพื้นที่เตือน,"Ziehen Sie Punkte, um den Warnbereich festzulegen"
Settings,,,,efence.define.detection.area,detection_settings_detection_area_title,Drag points to specify detection area,請拖曳端點設定區域範圍,请拖曳端点设定区域范围,ลากจุดเพื่อระบุพื้นที่ตรวจจับ,"Ziehen Sie Punkte, um den Erkennungsbereich festzulegen"
Snooze Detection,,,,snooze.detection.fifteenMinutes,snooze_detection_fifteen_minutes,Snooze for 15 minutes,暫停15分鐘,暂停15分钟,งีบหลับเป็นเวลา 15 นาที,Schlafen Sie 15 Minuten lang
Snooze Detection,,,,snooze.detection.thirtyMinutes,snooze_detection_thirty_minutes,Snooze for 30 minutes,暫停30分鐘,暂停30分钟,งีบหลับเป็นเวลา 30 นาที,30 min. lang schlafen
Snooze Detection,,,,turn.off.covered.detection,turn_off_covered_detection,Turn off Covered Face Detection,關閉臉部覆蓋偵測,关闭脸部覆盖侦测,ปิดการตรวจจับใบหน้าที่ครอบคลุม,Deaktivieren Sie die Erkennung verdeckter Gesichter
Snooze Detection,,,,turn.off.area.detection,turn_off_area_detection,Turn off Area Detection,關閉區域偵測,关闭区域侦测,ปิดการตรวจจับพื้นที่,Deaktivieren Sie die Bereichserkennung
Snooze Detection,,,,turn.off.detection,turn_off_detection,Turn off detection,關閉偵測功能,关闭侦测功能,ปิดการตรวจจับ,Deaktivieren Sie die Erkennung
Snooze Detection,,,,snooze.until.time,snooze_detection_until,Snooze until %s,暫停直到%s,暂停直到%s,งีบหลับจน %,Schlummern bis %s
Subscription paywall popups,,,,subscription.payWallAlert.checkPlan,,Upgrade subscription,升級訂閱方案,升級訂閱方案,อัพเกรดการสมัครสมาชิก,Upgrade-Abonnement
Subscription paywall popups,Used to notify user he needs to be subscribed to use a feature,,,subscription.payWallAlert.accept,subscription_go_to_subscription,Upgrade subscription,升級訂閱方案,升級訂閱方案,อัพเกรดการสมัครสมาชิก,Upgrade-Abonnement
Subscription payWall - Family Album - add photo,,,,familyAlbum.payWallAlert.addPhotoTitle,family_album_subscribe,Subscribe to add photo to album,,,สมัครสมาชิกเพื่อเพิ่มรูปภาพลงในอัลบั้ม,"Abonnieren Sie, um ein Foto zum Album hinzuzufügen"
Subscription payWall - Family Album - privacy Control,,,,familyAlbum.payWallAlert.privacyControlTitle,family_album_subscribe_to_advanced_privacy_control,Subscribe to advanced privacy control,,,สมัครรับข้อมูลการควบคุมความเป็นส่วนตัวขั้นสูง,Abonnieren Sie die erweiterte Datenschutzkontrolle
Subscription payWall - Event History - download video,,,,eventHistory.payWallAlert.downloadTitle,subscription_subscribe_to_download_event_video,Upgrade subscription to keep and save clips of 7-day Event Video,升級訂閱方案以 保留及儲存「7天 事件雲端短影片」,升级订阅方案以保留及储存「7天事件云端短影片」,อัพเกรดการสมัครสมาชิกเพื่อเก็บและบันทึกคลิปวิดีโอเหตุการณ์ 7 วัน,"Upgraden Sie Ihr Abonnement, um Clips des 7-Tage-Eventvideos zu behalten und zu speichern"
Subscription payWall - Event History - log events,,,,eventHistory.payWallAlert.moreDaysTitle,subscription_subscribe_to_event_log,Subscribe to view more event history,,,สมัครสมาชิกเพื่อดูประวัติเหตุการณ์เพิ่มเติม,"Abonnieren Sie, um mehr Ereignisverlauf anzuzeigen"
Subscription payWall - Live Streaming - manual capture,,,,liveStreaming.payWallAlert.captureAllowedTitle,manual_capture_subscribe_title,Subscribe to capture photo & video.,,,สมัครสมาชิกเพื่อจับภาพและวิดีโอ,"Abonnieren Sie, um Fotos und Videos aufzunehmen."
Subscription payWall - Cry detection - Soothing music change,,,,musicService.payWallAlert.title,subscription_music_soothing_free,Upgrade subscription for more music services in Smart Music Box,升級訂閱以享有 「智慧音樂盒」中更多音樂服務,升级订阅以享有「智慧音乐盒」中更多音乐服务,อัพเกรดการสมัครสมาชิกสำหรับบริการเพลงเพิ่มเติมใน กล่องดนตรีอัจฉริยะ,Upgrade-Abonnement für weitere Musikdienste in der Smart Music Box
Subscription payWall - Members Limit,,,,members.payWallAlert.title,subscription_lost_member_selection_title,Choose member to continue sharing,請選擇您欲繼續分享的家庭成員,请选择您欲继续分享的家庭成员,เลือกสมาชิกเพื่อแบ่งปันต่อไป,"Wählen Sie Mitglied, um mit dem Teilen fortzufahren"
Subscription payWall - Members Limit,,,,members.payWallAlert.description,subscription_lost_member_selection_description,This plan is limited to %s total users. Redo settings to swap out a confirmed member or upgrade subscription to share with more members.,您欲使用的方案僅提供「%s人共享」。一旦選擇您欲保留的成員後，如需替換，請重新設定。欲增加其他成員，您可隨時升級訂閱方案。,您欲使用的方案仅提供「%s人共享」。一旦选择您欲保留的成员后，如需替换，请重新设定。欲增加其他成员，您可随时升级订阅方案。,แผนนี้ จำกัด เฉพาะผู้ใช้ทั้งหมด % การตั้งค่าซ้ำเพื่อแลกเปลี่ยนสมาชิกที่ได้รับการยืนยันหรืออัปเกรดการสมัครสมาชิกเพื่อแบ่งปันกับสมาชิกเพิ่มเติม,"Dieser Plan ist auf %s Gesamtbenutzer beschränkt. Wiederholen Sie die Einstellungen, um ein bestätigtes Mitglied auszutauschen, oder aktualisieren Sie das Abonnement, um es mit mehr Mitgliedern zu teilen."
Subscription payWall - Members Limit,,,,members.payWallAlert.subscribe,subscription_lost_baby_selection_keep_all_button,Keep all and upgrade,保留並升級訂閱方案,保留并升级订阅方案,เก็บทุกอย่างและอัพเกรด,Behalte alles und aktualisiere
Subscription payWall - Voice recorder,,,,subscription.voicerecorder.title,subscription_voice_record_limitation,Upgrade subscription to enjoy Voice Recorder services,升級訂閱以享有「聲音錄製」服務,升级订阅以享有「声音录制」服务,อัพเกรดการสมัครรับข้อมูลเพื่อเพลิดเพลินกับบริการเครื่องบันทึกเสียง,"Upgraden Sie Ihr Abonnement, um die Sprachaufzeichnungsdienste zu nutzen"
New Subscription Cards,,,,,sd_card_storage_size,SD card storage size,,,ขนาดที่เก็บการ์ด SD,Speichergröße der SD-Karte
New Subscription Cards,,,,,recordable_time_for_playback,Recordable time for playback,,,เวลาที่บันทึกได้สำหรับการเล่น,Aufnahmezeit für die Wiedergabe
New Subscription Cards,,,,,subscribe_all_including_popup,Managing up to 3 devices with a single account (up to 3 babies),,,การจัดการอุปกรณ์มากถึง 3 เครื่องด้วยบัญชีเดียว (เด็กน้อยถึง 3 คน),Verwaltung von bis zu 3 Geräten mit einem einzigen Konto (bis zu 3 Babys)
New Subscription Cards,,,,,subscribe_all_including_full,every Pixsee AI Smart Camera includes,,,กล้องอัจฉริยะ Pixsee AI ทุกตัวจะมี,Jede Pixsee AI Smart-Kamera beinhaltet
New Subscription Cards,,,,,new_subscription_24hr_live_show,24hr Live Show,,,การแสดงสด 24 ชั่วโมง,24-Stunden-Live-Show
New Subscription Cards,,,,,new_subscription_video_playback,Video Playback,,,การเล่นวิดีโอ,Videowiedergabe
New Subscription Cards,,,,,new_subscription_by_sd_card_size,by SD card size,,,ตามขนาดการ์ด SD,nach SD-Kartengröße
New Subscription Cards,,,,,new_subscription_cry_detection_and_recognition_and_decoder,"Cry Detection, Recognition & Decoder",,,"Cry Detection, Recognition & Decoder","Schreierkennung, Erkennung und Decoder"
New Subscription Cards,,,,,new_subscription_covered_face_detection,Covered Face Detection,,,การตรวจจับใบหน้าที่ปกคลุม,Erkennung verdeckter Gesichter
New Subscription Cards,,,,,new_subscription_area_detection,Area Detection,,,การตรวจหาพื้นที่,Bereichserkennung
New Subscription Cards,,,,,new_subscription_quality_two_way_talk,Quality Two-Way Talk,,,การพูดคุยสองทางที่มีคุณภาพ,Hochwertiges Zwei-Wege-Gespräch
New Subscription Cards,,,,,new_subscription_audio_monitoring_mode,Audio Monitoring Mode,,,โหมดการตรวจสอบเสียง,Audioüberwachungsmodus
New Subscription Cards,,,,,new_subscription_temperature_and_humidity_detection,Temperature & Humidity Detection,,,การตรวจจับอุณหภูมิและความชื้น,Temperatur- und Luftfeuchtigkeitserkennung
New Subscription Cards,,,,,new_subscription_baby_bubble_tree,Baby Bubble Tree,,,ต้นฟองเด็ก,Baby-Blasenbaum
New Subscription Cards,,,,,new_subscription_festive_live_ecard,Festive Live e-Card,,,e-card สดเทศกาล,Festliche Live-E-Card
New Subscription Cards,,,,,new_subscription_4urlove_collage_album,4URLove Collage Album,,,อัลบั้ม 4URLove Collage,4URLove Collage-Album
New Subscription Cards,,,,,extension_management_baby_device_paring,extension management of baby and device paring,,,การจัดการส่วนขยายของการจับเด็กและอุปกรณ์,Erweiterungsmanagement der Baby- und Gerätekopplung
New Subscription Cards,,,,,amazon_alexa_support,Amazon Alexa Support,,,การสนับสนุน Amazon Alexa,Amazon Alexa-Unterstützung
New Subscription Cards,,,,,event_video_log,Event Video Log,,,บันทึกวิดีโอเหตุการณ์,Ereignisvideoprotokoll
New Subscription Cards,,,,,new_subscription_within_two_days,within 2 days,,,ภายใน 2 วัน,innerhalb von 2 Tagen
New Subscription Cards,,,,,new_subscription_within_five_days,within 5 days,,,ภายใน 5 วัน,innerhalb von 5 Tagen
New Subscription Cards,,,,,new_subscription_within_seven_days,within 7 days,,,ภายใน 7 วัน,innerhalb von 7 Tagen
New Subscription Cards,,,,,memories_storage,Memories Storage,,,การจัดเก็บความทรงจำ,Erinnerungsspeicher
New Subscription Cards,,,,,new_subscription_seven_days,7 days,,,7 วัน,7 Tage
New Subscription Cards,,,,,new_subscription_30_days_file_saving_available,"30 days, file saving available",,,30 วันมีการบันทึกไฟล์,30 Tage Dateispeicherung möglich
New Subscription Cards,,,,,whole_subscription_period_file_saving_available,"the whole subscription period, file saving available",,,ระยะเวลาการสมัครทั้งหมดการบันทึกไฟล์พร้อมใช้งาน,"die gesamte Abonnementlaufzeit, Dateispeicherung möglich"
New Subscription Cards,,,,,memories_sharing,Memories Sharing,,,การแบ่งปันความทรงจำ,Erinnerungen teilen
New Subscription Cards,,,,,mobile_phone_image_upload_support,Mobile Phone Image Upload Support,,,สนับสนุนอัพโหลดอิมเมจโทรศัพท์มือถือ,Unterstützung für das Hochladen von Mobiltelefonbildern
New Subscription Cards,,,,,from_your_phone_your_4urlove_collage_album,*from your phone to your 4URLove Collage Album,,,*จากโทรศัพท์ของคุณไปยังอัลบั้ม Collage 4urlove ของคุณ,Hinweis: von Deinem Telefon zu Deinem Pixsee Album
New Subscription Cards,,,,,ai_smart_capture,AI Smart Capture,,,AI Smart Capture,AI Smart Capture
New Subscription Cards,,,,,new_subscription_three_pics_max_per_day,3 pics max per day,,,3 ภาพสูงสุดต่อวัน,Maximal 3 Bilder pro Tag
New Subscription Cards,,,,,new_subscription_six_pics_max_per_day,6 pics max per day,,,6 ภาพสูงสุดต่อวัน,Maximal 6 Bilder pro Tag
New Subscription Cards,,,,,new_subscription_twelve_pics_max_per_day,12 pics max per day,,,12 ภาพสูงสุดต่อวัน,Maximal 12 Bilder pro Tag
New Subscription Cards,,,,,new_subscription_themed_frames,Themed Frames,,,เฟรมที่มีธีม,Themenrahmen
New Subscription Cards,,,,,festive_series_and_monthly_birthdays,Festive Series & 36 monthly birthdays,,,ซีรีส์เทศกาลและวันเกิด 36 เดือน,Festliche Serie & 36 monatliche Geburtstage
New Subscription Cards,,,,,new_subscription_trial_edition,Trial edition,,,ฉบับทดลอง,Testversion
New Subscription Cards,,,,,milestone_series_styles_and_milestones,Milestone Series7+ styles and 30 milestones (updateperiodicaly),,,ซีรีส์เหตุการณ์สำคัญ 7+ สไตล์และเหตุการณ์สำคัญ 30 รายการ (อัปเดตเป็นระยะ),Milestone Series7+ Stile und 30 Meilensteine ​​(regelmäßig aktualisiert)
New Subscription Cards,,,,,manual_capture_and_camera_timer,Manual Capture & Camera Timer(5MP),,,ตัวจับเวลาการจับภาพด้วยตนเองและตัวจับเวลา (5MP),Manuelle Aufnahme und Kamera-Timer (5 MP)
New Subscription Cards,,,,,new_subscription_sixty_pics_per_mo,60 pics per mo.,,,60 ภาพต่อเดือน,60 Bilder / Monat
New Subscription Cards,,,,,new_subscription_150_pics_per_mo,150 pics per mo.,,,150 ภาพต่อเดือน,150 Bilder pro Monat.
New Subscription Cards,,,,,manual_record,Manual Record,,,บันทึกด้วยตนเอง,Manuelle Aufzeichnung
New Subscription Cards,,,,,new_subscription_sixty_video_clips_per_mo,60 video clips per mo. (30 secs max each),,,60 วิดีโอคลิปต่อเดือน (สูงสุด 30 วินาที),60 Videoclips / Monat. (jeweils max. 30 sek.)
New Subscription Cards,,,,,new_subscription_150_video_clips_per_mo,150 video clips per mo. (30 secs max each),,,150 วิดีโอคลิปต่อเดือน (สูงสุด 30 วินาที),150 Videoclips pro Monat. (jeweils maximal 30 Sekunden)
New Subscription Cards,,,,,multiple_user_support,Multiple User Support,,,การสนับสนุนผู้ใช้หลายคน,Unterstützung für mehrere Benutzer
New Subscription Cards,,,,,new_subscription_two_users,2 users,,,ผู้ใช้ 2 คน,2 Benutzer
New Subscription Cards,,,,,new_subscription_four_users,4 users,,,ผู้ใช้ 4 คน,4 Benutzer
New Subscription Cards,,,,,new_subscription_six_users,6 users,,,ผู้ใช้ 6 คน,6 Benutzer
New Subscription Cards,,,,,access_control,Access Control,,,การควบคุมการเข้าถึง,Zugangskontrolle
New Subscription Cards,,,,,standard,Standard,,,มาตรฐาน,Standard
New Subscription Cards,,,,,advanced,Advanced,,,ขั้นสูง,Fortschrittlich
New Subscription Cards,,,,,new_subscription_music_scheduler,Music Scheduler,,,ตัวกำหนดตารางเวลา,Musikplaner
New Subscription Cards,,,,,new_subscription_ten_songs,10 songs,,,10 เพลง,10 Musikstücke
New Subscription Cards,,,,,new_subscription_audio_recordings,30 audio recordings (2 minutes in total),,,30 การบันทึกเสียง (ทั้งหมด 2 นาที),30 Audioaufnahmen (insgesamt 2 min.)
New Subscription Cards,,,,,full_access_to_soothing_music,Full access to soothing music,,,การเข้าถึงเพลงที่ผ่อนคลายเต็มรูปแบบ,Voller Zugriff auf beruhigende Musik
New Subscription Cards,,,,,default_music_only,Default music only,,,เพลงเริ่มต้นเท่านั้น,Nur Standardmusik
New Subscription Cards,,,,,new_subscription_ai_smart_music_box,AI Smart Music Box,,,AI Smart Music Box,KI-intelligente Spieluhr
New Subscription Cards,,,,,new_subscription_built_in_songs,11 built-in songs,,,11 เพลงในตัว,11 integrierte Musikstücke
New Subscription Cards,,,,,new_subscription_exclusive_songs,11+5 exclusive songs,,,11+5 เพลงพิเศษ,11+5 exklusive Musikstücke
New Subscription Cards,,,,,new_subscription_songs,11+55 songs,,,11+55 เพลง,11+55 Musikstücke
New Subscription Cards,,,,,sd_card_storage_size_8g,8 G,8 G,8 G,8 กรัม,8 G
New Subscription Cards,,,,,sd_card_storage_size_16g,16 G,16 G,16 G,16 กร,16 G
New Subscription Cards,,,,,sd_card_storage_size_32g,32 G,32 G,32 G,32 กรัม,32 G
New Subscription Cards,,,,,sd_card_storage_size_64g,64 G,64 G,64 G,64 กรัม,64 G
New Subscription Cards,,,,,sd_card_storage_size_128g,128 G,128 G,128 G,128 กรัม,128 G
New Subscription Cards,,,,,sd_card_storage_size_256g,256 G,256 G,256 G,256 กรัม,256 G
New Subscription Cards,,,,,sd_card_storage_size_512g,512 G,512 G,512 G,512 กรัม,512 G
New Subscription Cards,,,,,sd_card_storage_size_1tb,1 TB,1 TB,1 TB,1 TB,1 TB
New Subscription Cards,,,,,recordable_time_for_playback_6h,6H,6H,6H,6h,6H
New Subscription Cards,,,,,recordable_time_for_playback_12h,12H,12H,12H,12h,12H
New Subscription Cards,,,,,recordable_time_for_playback_24h_1day,24H / 1 day,,,24 ชั่วโมง / 1 วัน,24 Stunden / 1 Tag
New Subscription Cards,,,,,recordable_time_for_playback_two_days,2 days,,,2 วัน,2 Tage
New Subscription Cards,,,,,recordable_time_for_playback_five_days,5 days,,,5 วัน,5 Tage
New Subscription Cards,,,,,recordable_time_for_playback_seven_days,7 days,,,7 วัน,7 Tage
New Subscription Cards,,,,,recordable_time_for_playback_fourteen_days,14 days,,,14 วัน,14 Tage
New Subscription Cards,,,,,recordable_time_for_playback_30days_1month,30 days / 1 month,,,30 วัน / 1 เดือน,30 Tage / 1 Monat
New Subscription Cards,,,,,new_subscription_free_plan_title,You can use the free version or upgrade for more premium features,,,คุณสามารถใช้เวอร์ชันฟรีหรืออัปเกรดสำหรับคุณสมบัติพรีเมี่ยมเพิ่มเติม,"Sie können die kostenlose Version verwenden oder ein Upgrade durchführen, um weitere Premium-Funktionen zu erhalten"
New Subscription Cards,,,,,new_subscription_gold_platinum_plan_title,Subscribe to the Gold or Platinum Plan to upgrade the following features,,,สมัครสมาชิกแผนทองคำหรือแพลตตินัมเพื่ออัพเกรดคุณสมบัติต่อไปนี้,"Abonnieren Sie den Gold- oder Platinum-Plan, um die folgenden Funktionen zu aktualisieren"
New Subscription Cards,,,,,new_subscription_free_plan,Free,,,ฟรี,Frei
New Subscription Cards,,,,,new_subscription_gold_plan,Gold,,,ทอง,Gold
New Subscription Cards,,,,,new_subscription_platinum_plan,Platinum,,,แพลตตินัม,Platin
New Subscription Cards,,,,,new_subscription_free_trial_desc,"Get 3-month free trial, and then subscribe for %s/month. You may cancel anytime","Get 3-month free trial, and then subscribe for %s/month. You may cancel anytime","Get 3-month free trial, and then subscribe for %s/month. You may cancel anytime",รับการทดลองใช้ฟรี 3 เดือนจากนั้นสมัครรับ %S/เดือน คุณสามารถยกเลิกได้ตลอดเวลา,Holen Sie sich eine dreimonatige kostenlose Testversion und abonnieren Sie dann %s/monat. Sie können jederzeit kündigen
Slideshow,,,,,slideshow_subscription_info,Upgrade subscription to enjoy more services on Digital Keepsakes,升級訂閱以享有更多珍貴回憶的相關服務,升級訂閱以享有更多珍貴回憶的相關服務,อัพเกรดการสมัครสมาชิกเพื่อเพลิดเพลินกับบริการเพิ่มเติมเกี่ยวกับของที่ระลึกดิจิตอล,"Upgraden Sie Ihr Abonnement, um mehr Dienste für Digital Keepsakes zu genießen"
Slideshow,,,,slideshow.recordingInterruptedMessage,slideshow_failed_generate_video,"Failed to generate the video, please try again",影片生成失敗，請再試一次,影片生成失败，请再试一次,ไม่สามารถสร้างวิดีโอได้โปรดลองอีกครั้ง,Das Video konnte nicht generiert werden. Bitte versuchen Sie es erneut
Slideshow,,,,slideshow.minSelectLimit,select_at_least_photos,Select at least 5 photos,請選擇至少5張照片,请选择至少5张照片,เลือกภาพถ่ายอย่างน้อย 5 ภาพ,Wählen Sie mindestens 5 Fotos aus
Slideshow,,,,slideshow.maxSelectLimit,select_up_to_photos,Select up to 30 photos,最多選擇30張照片,最多选择30张照片,เลือกรูปภาพสูงสุด 30 ภาพ,Wählen Sie bis zu 30 Fotos aus
Slideshow,,,,slideshow.selectedCount,,%d/30 selected,已選擇 %d/30照片,已选择 %d/30照片,เลือก %d/30,%d/30 ausgewählt
Slideshow,,,,slideshow.firstTipCreateSlideshowTitle,first_tip_create_slideshow_title,Create Themed Story,自創「回憶精選」,自创「回忆精选」,สร้างเรื่องราวที่มีธีม,Erstellen Sie eine thematische Geschichte
Slideshow,,,,slideshow.firstTipCreateSlideshowInfo,first_tip_create_slideshow_info,Click the button to add a Themed Story.,點擊按鈕新增「回憶精選」。,点击按钮新增「回忆精选」。,คลิกปุ่มเพื่อเพิ่มเรื่องราวที่มีธีม,"Klicken Sie auf die Schaltfläche, um eine thematische Story hinzuzufügen."
Slideshow,,,,slideshow.firstTipPreviewPhotoTitle,first_tip_preview_photo_title,Preview photos,預覽照片,预览照片,ดูตัวอย่างรูปภาพ,Vorschaufotos
Slideshow,,,,slideshow.firstTipPreviewPhotoInfo,first_tip_preview_photo_info,Press and hold on an image to view the full photo.,長按縮圖以瀏覽整張照片。,长按缩图以浏览整张照片。,กดค้างไว้บนภาพเพื่อดูรูปภาพเต็มรูปแบบ,"Halten Sie ein Bild gedrückt, um das vollständige Foto anzuzeigen."
Slideshow,,,,slideshow.whatsNewTitle,slideshow_whats_new,What\'s new,新功能,新功能,อะไรใหม่,Was ist neu
Slideshow,,,,slideshow.whatsNewDescription,slideshow_whats_new_info,Pixsee helps you capture fleeting memories and save your precious moments before they fade.,Pixsee為您捕捉到稍縱即逝的畫面，快趁回憶消失前保存這些珍貴畫面。,Pixsee为您捕捉到稍纵即逝的画面，快趁回忆消失前保存这些珍贵画面。,Pixsee ช่วยให้คุณจับความทรงจำที่หายวับไปและบันทึกช่วงเวลาอันมีค่าของคุณก่อนที่พวกเขาจะจางหายไป,"Pixsee hilft Ihnen, flüchtige Erinnerungen festzuhalten und Ihre kostbaren Momente zu speichern, bevor sie verblassen."
Slideshow,,,,slideshow.iGotIt,slideshow_i_got_it,I got it,我知道了,我知道了,ฉันเข้าใจแล้ว,Verstanden.
Slideshow,,,,slideshow.Delete,memory_delete,Delete this %s?,您確定要刪除這段%s?,您确定要删除这段%s?,ลบ %s นี้?,Dieses %s löschen?
Slideshow,,,,slideshow.attention,slideshow_alert_cancel_keep_title,Attention,注意,注意,ความสนใจ,Achtung!
Slideshow,,,,slideshow.cancelKeepMessage,slideshow_alert_cancel_keep_message,This %s will be deleted if you remove it from keep,若您取消保存，這段 %將會被刪除。,若您取消保存，这段%将会被删除。,%s นี้จะถูกลบหากคุณลบออกจาก Keep,"Dieses %s wird gelöscht, wenn Sie es aus der Aufbewahrung entfernen"
,,,,storage.story,,Story,回憶精選,回忆精选,เรื่องราว,Geschichte
Slideshow,,,,slideshow,slideshow,Themed Story,回憶精選,回忆精选,เรื่องราวที่มีธีม,Thematische Geschichte
Slideshow,,,,slideshow.characterCount,,%d character(s),%d character(s),%d character(s),%d อักขระ (s),%d Zeichen
Slideshow,,,,slideshow.deletePhoto,slideshow_delete_photo,Delete this photo?,您確定要移除照片?,您确定要移除照片?,ลบภาพนี้?,Dieses Foto löschen?
Slideshow,,,,slideshow.minLimit,slideshow_delete_warning,No less than 5 photos.,照片不能少於5張,照片不能少于5张,ภาพถ่ายไม่น้อยกว่า 5 ภาพ,Nicht weniger als 5 Fotos.
Slideshow,,,,slideshow.discard,slideshow_discard_creation,Discard this Themed Story?,停止製作?,停止制作?,ทิ้งเรื่องธีมนี้?,Diese thematische Geschichte verwerfen?
Slideshow,,,,slideshow.create,create,Create,製作,制作,สร้าง,Erstellen
Slideshow,,,,slideshow.goToTop,go_to_top,Go to top,回到最上方,回到最上方,ไปด้านบน,Nach oben gehen
Slideshow,,,,slideshow.memories,memories,Memories,回憶,回忆,ความทรงจำ,Erinnerungen
Slideshow,,,,slideshow.viewAll,memories_viewall,View all,瀏覽全部,浏览全部,ดูทั้งหมด,Alle anzeigen
Slideshow,,,,slideshow.createBeautifulMoments,memories_welcome,Create beautiful moments,create beautiful moments,create beautiful moments,สร้างช่วงเวลาที่สวยงาม,Schaffen Sie schöne Momente
Slideshow / Store Period Time,Used on Slideshow and Store Period Time,,,slideshow.year,year,Year,年,年,ปี,Jahr
Slideshow / Store Period Time,Used on Slideshow and Store Period Time,,,slideshow.month,month,Month,月,月,เดือน,Monat
Slideshow,,,,slideshow.day,day,Day,日,日,วัน,Tag
Slideshow,,,,slideshow.keep,keep,Keep,保存,保存,เก็บ,
Slideshow,,,,slideshow.all,all,All,全部,全部,ทั้งหมด,Alle
Slideshow,,,,slideshow.today,today,Today,今天,今天,วันนี้,Heute
Slideshow,,,,,slideshow_name_rule_hint,Enter at least 1 word.,請輸入至少一個字。,请输入至少一个字。,ป้อนอย่างน้อย 1 คำ,Geben Sie mindestens 1 Wort ein.
Slideshow,,,,slideshow.timeout,,Timeout,連線逾時,连线逾时,หมดเวลา,Time-out
Slideshow,,,,slideshow.networkError,,Please check network and try again.,請檢查網路或再次連線,请检查网络或再次连线,โปรดตรวจสอบเครือข่ายและลองอีกครั้ง,Bitte überprüfen Sie das Netzwerk und versuchen Sie es erneut.
Slideshow,,,,slideshow.retry,,Retry,重新連線,重新连线,ลองอีกครั้ง,Wiederholen
Slideshow,,,,slideshow.deletedByOther,memory_alert_delete_member_message,This %s has been deleted by other members,這段%s已被其他成員刪除,这段%s已被其他成员删除,%s นี้ถูกลบโดยสมาชิกคนอื่น ๆ,Dieses %s wurde von anderen Mitgliedern gelöscht
Slideshow,,,,slideshow.recording.alertTitle,memories_start_recording_alert_title,Start screen recording,開始螢幕錄影,开始萤幕录影,เริ่มการบันทึกหน้าจอ,Starten Sie die Bildschirmaufnahme
Slideshow,,,,slideshow.recording.alertDescription,memories_start_recording_alert_message,"Before we begin, please note that if the screen recording is interrupted, you will not be able to share the video. Once the recording is complete, the sharing screen will appear shortly.",準備開始螢幕錄影。若錄影中途停止，您將會無法分享這段影片。分享畫面會在螢幕錄影完成後出現，請您耐心等候。,准备开始屏幕录像。若录像中途停止，您将会无法分享这段影片。分享画面会在屏幕录像完成后出现，请您耐心等候。,ก่อนที่เราจะเริ่มโปรดทราบว่าหากการบันทึกหน้าจอถูกขัดจังหวะคุณจะไม่สามารถแชร์วิดีโอได้ เมื่อการบันทึกเสร็จสมบูรณ์หน้าจอการแชร์จะปรากฏขึ้นในไม่ช้า,"Bevor wir beginnen, beachten Sie bitte, dass Sie das Video nicht teilen können, wenn die Bildschirmaufzeichnung unterbrochen wird. Sobald die Aufnahme abgeschlossen ist, erscheint in Kürze der Freigabebildschirm."
Slideshow,,,,slideshow.recording.start,memories_start_recording_alert_confirmation,Start recording,開始錄影,开始录像,เริ่มบันทึก,Starten Sie die Aufnahme
Time-lapse,,,,timelapse.title,time_lapse,Time-Lapse Video,縮時短片,缩时短片,วิดีโอไทม์แลปส์,Zeitraffervideo
